	Bacteroides	Streptococcus	Parabacteroides	Blautia	Coprococcus	Phocaeicola	Bifidobacterium	Mediterraneibacter	Eggerthella	Collinsella	Roseburia	Alistipes	Odoribacter	Megasphaera	Dysosmobacter	Ruminococcus	Oscillibacter	Ruthenibacterium	Anaerobutyricum	Faecalibacterium	Lachnoclostridium	Lactobacillus	Flavonifractor	Clostridium	Enterocloster	Barnesiella	Anaerostipes	Lachnospira	Enterococcus	Flintibacter	Faecalitalea	Clostridioides	Vescimonas	Desulfovibrio	Thomasclavelia	Lacrimispora	Romboutsia	Gordonibacter	Intestinimonas	Dialister	Pusillibacter	Massilistercora	Otoolea	Hungatella	Butyricimonas	Porphyromonas	Solibaculum	Caldibacillus	Desulfobulbus	Dichelobacter	Olsenella	Turicibacter	Paraclostridium	Segatella	Faecalicatena	Longibaculum	Adlercreutzia	Christensenella	Catenibacterium	Atopobium	Haemophilus	Veillonella	Lacticaseibacillus	Phascolarctobacterium	Rothia	Achromobacter	Fusobacterium	Limosilactobacillus	Gemella	Akkermansia	Lactococcus	Chryseobacterium	Blastocystis	Sutterella	Paraprevotella	Weissella	Eubacterium	Novisyntrophococcus	Anaerotignum	Faecalibacillus	Granulicatella	Amedibacterium	Intestinibaculum	Taranisvirus	Klebsiella	Methanobrevibacter	Escherichia	Cohcovirus	Schaalia	Mogibacterium	Duodenibacillus	Longicatena	Filifactor	Prevotella	Ceduovirus	Ligilactobacillus	Citrobacter	Cellulosilyticum	Mageeibacillus	Muribaculum	Duncaniella	Enterobacter	Pseudobutyrivibrio	Carjivirus	Emergencia	Brigitvirus	Fretibacterium	Pseudocoprococcus	Allocoprococcus	Butyrivibrio	Candidatus Formimonas	Nitratidesulfovibrio	Ruminiclostridium	Shigella	Megamonas	Selenomonas	Coprobacter	Oxalobacter	Aminipila	Spiroplasma	Acidaminococcus	Crabavirus	Anaerocolumna	Candidatus Lachnocurva	Lactiplantibacillus	Desulfosarcina	Murdochiella	Oengusvirus	Caproiciproducens	Acutalibacter	Acholeplasma	Caproicibacterium	Paenibacillus	Thermophilibacter
PFND429	143	21	181	66	67	23	14	52	10	0	162	74	196	0	44	4	18	11	8	137	3	0	17	9	11	0	7	11	3	8	7	10	32	0	8	0	1	1	1	0	82	1	3	4	21	0	1	0	0	0	0	0	0	0	2	1	33	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	22	0	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN008	0	0	0	0	0	4	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN038	283	155	110	59	1	67	73	12	0	60	73	73	14	1	13	4	3	1	10	214	5	0	2	17	3	0	62	7	2	0	0	4	3	0	0	0	20	0	0	1	3	0	1	1	2	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	60	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN044	33	249	1	63	0	7	2	0	0	0	44	31	26	0	15	3	11	2	3	56	4	0	48	7	13	0	3	0	3	20	1	3	15	4	34	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN049	303	66	115	277	10	28	132	48	5	80	105	195	73	0	6	14	1	0	24	370	4	0	1	12	3	2	76	51	1	1	6	2	9	4	2	1	18	0	1	10	3	0	1	0	16	0	1	0	0	0	0	1	0	15	1	3	10	0	0	0	4	0	0	0	0	0	0	0	0	77	0	0	0	11	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	24	0	0	0	1	0	0	0	0	2	1	0	56	11	0	0	0	0	0	54	6	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTN071	595	53	304	128	4	186	31	7	2	3	49	139	82	0	26	2	8	18	8	309	8	0	134	15	38	0	70	14	5	2	2	2	28	35	4	7	0	0	0	0	4	0	3	2	12	1	0	0	0	0	0	0	0	12	3	3	32	1	1	0	0	0	2	65	0	0	0	0	0	2	0	0	1	4	9	0	1	1	2	6	0	2	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	5	8	0	0	1	0	0	0	0	0	0	0	0	9	3	1	1	1	0	0	0	0	0	0	0	0	0
MTN076	372	31	196	148	5	46	0	10	0	3	105	174	16	0	15	9	9	28	12	346	10	0	4	24	16	0	68	33	4	0	4	2	9	1	1	1	0	4	0	0	0	0	2	5	121	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	3	0	0	219	0	0	0	0	0	0	0	0	0	0	0	91	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
MTN099	44	20	12	22	1	12	0	3	1	0	4	25	12	0	5	2	0	17	14	50	1	0	2	4	7	0	14	13	1	0	4	0	1	1	0	3	0	0	0	0	2	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MTN142	287	3	4	42	1	18	12	9	60	0	38	94	126	0	12	1	9	2	3	83	2	0	6	5	11	0	28	3	0	2	1	4	23	0	18	2	1	1	0	0	18	1	4	3	0	0	0	0	0	0	0	0	0	0	0	1	36	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	5	1	0	0	0	0	0	0	0	5	0	1	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0
MTN167	633	140	196	61	0	131	85	4	2	1	86	64	35	34	14	4	3	64	2	118	1	0	7	57	4	0	6	1	2	0	1	4	25	36	0	3	0	9	1	0	4	0	3	1	33	0	0	0	0	0	0	0	0	39	1	3	9	1	27	0	15	0	0	0	0	0	0	0	0	2	0	0	6	26	0	0	0	0	4	3	0	1	0	0	0	2	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	5	0	43	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1
