# Pathway	MTN008_frags_Abundance	MTN038_frags_Abundance	MTN044_frags_Abundance	MTN049_frags_Abundance	MTN071_frags_Abundance	MTN076_frags_Abundance	MTN099_frags_Abundance	MTN112_frags_Abundance	MTN142_frags_Abundance	MTN167_frags_Abundance	PFND073_frags_Abundance	PFND110_frags_Abundance	PFND111_frags_Abundance	PFND164-amplified_frags_Abundance	PFND185_frags_Abundance	PFND208_frags_Abundance	PFND227_frags_Abundance	PFND233_frags_Abundance	PFND283_frags_Abundance
PWY-5695: inosine 5'-phosphate degradation	0.000611697	0.000578973	0.000439789	0.00045133	0.000371249	0.00041665	0.000345231	0.000426439	0.000425048	0.00038923	0.000390834	0.000498722	0.000363256	0.000377624	0.000565584	0.000406682	0.00043146	0.000495757	0.000460036
PWY-5705: allantoin degradation to glyoxylate III	0	1.19603e-06	2.4128e-07	0	3.86243e-07	0	3.33716e-06	0	0	0	0	0	0	0	3.67463e-06	0	0	0	8.83318e-07
PWY-5723: Rubisco shunt	0	1.70168e-05	7.90726e-06	1.19378e-06	4.81194e-06	5.97202e-06	7.70114e-05	2.46438e-06	0	2.06687e-06	0	0	0	4.55654e-06	9.17344e-05	5.31415e-06	4.23656e-06	0	2.84471e-05
PWY-5724: superpathway of atrazine degradation	0	0	3.47173e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5747: 2-methylcitrate cycle II	0	1.79242e-06	0	0	1.57377e-07	0	5.34139e-06	0	0	7.2059e-08	0	0	0	0	5.12714e-06	8.01458e-07	0	0	3.01983e-06
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0	1.52464e-05	5.07513e-06	2.01927e-05	1.63837e-05	1.45946e-05	4.03263e-05	3.94482e-06	6.33657e-06	1.46001e-06	0	5.01204e-05	6.37114e-06	1.26382e-05	3.44536e-05	4.89406e-06	7.08763e-05	1.29649e-05	1.31802e-05
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	4.71571e-05	1.58528e-05	5.62057e-05	4.32482e-05	4.25537e-05	8.96968e-05	1.27468e-05	2.04404e-05	4.86609e-06	0	0.000101611	1.87858e-05	3.51119e-05	8.33216e-05	1.57662e-05	0.000106979	3.86395e-05	3.73295e-05
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	4.29852e-05	1.33764e-05	4.17738e-05	2.34682e-05	3.21178e-05	7.12211e-05	6.74205e-06	1.98113e-05	4.86066e-06	0	2.96307e-05	1.78878e-05	1.76613e-05	8.11233e-05	1.44178e-05	6.9837e-05	0	3.54078e-05
PWY-5845: superpathway of menaquinol-9 biosynthesis	0	3.19856e-05	1.53354e-05	1.67111e-05	4.22599e-06	1.70135e-05	7.12211e-05	1.25924e-05	2.01361e-05	4.70847e-06	0	0	8.66803e-06	3.2033e-05	5.82832e-05	1.54637e-05	4.37087e-05	0	3.21887e-05
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	3.19856e-05	2.83703e-06	0	3.15173e-06	1.70135e-05	7.12211e-05	0	1.094e-05	3.04778e-06	0	0	0	1.76613e-05	5.82832e-05	6.55135e-06	4.37087e-05	0	1.76933e-05
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	1.93582e-06	7.29098e-07	0	1.92397e-07	1.54619e-06	1.1037e-06	0	1.41231e-07	0	0	3.72915e-07	0	0	1.29453e-05	0	0	0	1.94519e-06
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	2.18657e-05	1.89836e-06	0	2.11183e-06	1.15864e-05	5.41087e-05	0	7.39092e-06	2.04275e-06	0	0	0	1.22735e-05	4.16306e-05	4.40732e-06	3.21199e-05	0	1.20968e-05
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0	3.26304e-05	1.07912e-05	4.03177e-05	3.09801e-05	2.99466e-05	7.07056e-05	8.65965e-06	1.39715e-05	3.27193e-06	0	8.25338e-05	1.30043e-05	2.54678e-05	6.13989e-05	1.07441e-05	9.22792e-05	2.72681e-05	2.62664e-05
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0	2.18657e-05	1.04319e-05	1.13797e-05	2.83655e-06	1.15864e-05	5.41087e-05	8.55275e-06	1.37583e-05	3.16506e-06	0	0	5.87889e-06	2.30567e-05	4.16306e-05	1.05334e-05	3.21199e-05	0	2.24775e-05
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	3.19856e-05	2.83703e-06	0	3.15173e-06	1.70135e-05	7.12211e-05	0	1.094e-05	3.04778e-06	0	0	0	1.76613e-05	5.82832e-05	6.55135e-06	4.37087e-05	0	1.76933e-05
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	4.25699e-05	1.42819e-05	5.11979e-05	4.05852e-05	3.87058e-05	8.44104e-05	1.12836e-05	1.81184e-05	4.29296e-06	0	9.61467e-05	1.722e-05	3.19655e-05	7.82479e-05	1.39858e-05	0.000109391	3.48512e-05	3.40076e-05
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	4.25699e-05	1.42819e-05	5.11979e-05	4.05852e-05	3.87058e-05	8.44104e-05	1.12836e-05	1.81184e-05	4.29296e-06	0	9.61467e-05	1.722e-05	3.19655e-05	7.82479e-05	1.39858e-05	0.000109391	3.48512e-05	3.40076e-05
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	4.25699e-05	1.42819e-05	5.11979e-05	4.05852e-05	3.87058e-05	8.44104e-05	1.12836e-05	1.81184e-05	4.29296e-06	0	9.61467e-05	1.722e-05	3.19655e-05	7.82479e-05	1.39858e-05	0.000109391	3.48512e-05	3.40076e-05
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	7.14011e-06	7.02579e-06	1.30947e-06	9.72615e-07	2.58092e-06	4.32858e-06	2.02576e-05	0	7.481e-06	6.70084e-06	2.36825e-05	1.64326e-05	2.03724e-05	4.9079e-05	2.22179e-05	1.0187e-05	3.29463e-05	4.35984e-05
PWY-5913: partial TCA cycle (obligate autotrophs)	0	3.59587e-05	2.85892e-05	1.89199e-05	1.56508e-05	4.33439e-06	6.33247e-05	4.73298e-05	5.56482e-06	2.24723e-05	7.27482e-05	5.90061e-05	5.05167e-05	5.56165e-05	0.000146555	7.26239e-05	4.55816e-05	5.42889e-05	6.97293e-05
PWY-5918: superpathway of heme b biosynthesis from glutamate	0	1.73025e-05	1.18198e-05	8.3427e-06	8.79079e-06	6.04068e-06	3.76303e-05	3.46858e-06	8.19308e-07	1.55026e-05	9.47351e-06	1.70068e-05	7.52501e-06	1.18735e-05	3.70104e-05	2.41788e-06	2.38739e-05	0	1.71388e-05
PWY-5920: superpathway of heme b biosynthesis from glycine	0	9.8529e-06	6.74344e-06	9.74678e-07	9.4456e-07	0	2.43356e-05	0	0	6.51055e-07	0	0	0	0	1.99675e-05	0	0	0	9.26883e-06
PWY-5941: glycogen degradation II	0.000183392	0.000264919	0.000536754	0.000458972	0.00050882	0.000467457	0.00038824	0.000447026	0.000436355	0.000478067	0.000733614	0.000565729	0.000509691	0.000428362	0.000401928	0.000435775	0.000455231	0.000347887	0.000485877
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	5.86442e-05	6.71867e-05	8.17175e-05	6.88114e-05	4.16764e-05	0.0001538	6.34755e-05	4.15717e-05	0	4.3116e-06	0.000126466	7.52292e-05	7.29483e-05	0.000171346	8.36173e-05	0.000152912	7.9344e-05	8.00503e-05
PWY-5972: stearate biosynthesis I (animals)	0	0	2.55961e-06	0	9.84783e-07	0	1.10097e-05	0	0	2.74256e-07	0	0	0	0	0	1.60255e-06	0	0	1.24817e-06
PWY-5973: cis-vaccenate biosynthesis	0.000204419	0.000358225	0.000238213	0.000360721	0.000261643	0.000314756	0.000224236	0.000253737	0.000334933	0.000186876	6.11161e-06	0.000297418	0.000206737	0.000276183	0.000225074	0.000282289	0.000304731	0.000411742	0.000193683
PWY-5981: CDP-diacylglycerol biosynthesis III	2.62885e-05	3.10924e-05	5.23379e-05	6.71966e-06	3.86322e-05	5.90364e-06	1.115e-05	0.000144097	5.57873e-06	4.36264e-05	0.0002273	0.000100186	0.000104348	0.000119923	0.000188896	0.000152744	0.000140088	8.56022e-05	0.000115367
PWY-5989: stearate biosynthesis II (bacteria and plants)	2.41848e-05	4.67044e-05	6.0216e-05	6.03784e-05	6.65685e-05	3.69358e-05	0.000137242	4.66858e-05	3.02428e-05	2.03242e-05	7.21013e-06	0.000135978	5.85555e-05	5.07479e-05	0.000170863	6.16622e-05	0.00013986	6.60865e-05	6.06209e-05
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	3.81674e-07	1.17354e-05	1.9511e-06	3.33559e-06	1.47028e-06	0	0	5.10824e-07	0	0	0	1.2539e-05	0	0	2.31858e-06	5.08888e-06	0	1.75305e-06
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.41308e-06	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	9.19457e-05	0.000411978	0.000454265	0.000433181	0.000466134	0.000400312	0.000296244	0.000441764	0.00039718	0.000426063	0.000533831	0.000440438	0.000435015	0.000416491	0.000422676	0.000422974	0.00042243	0.000410616	0.000458673
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.000656949	0.000529989	0.000442437	0.000436563	0.000463117	0.000398949	0.000287751	0.000434878	0.000388623	0.000429104	0.000558408	0.000430891	0.000430376	0.000404205	0.000436782	0.000407709	0.000428611	0.000397116	0.000453416
PWY-6123: inosine-5'-phosphate biosynthesis I	5.09257e-05	0.000308894	0.000330245	0.00038165	0.000371553	0.000325252	0.000270952	0.000313532	0.000361133	0.000336778	0.000466872	0.000389791	0.000322683	0.000347839	0.000392936	0.000369003	0.000354139	0.000384885	0.000347395
