accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR33937741	SRP591378	new	PRJNA1274439	SAMN48984224	PFND090-v1-stool	PFND090-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND090-v1-stool_S93_L001_R1_001.fastq.gz	PFND090-v1-stool_S93_L001_R2_001.fastq.gz				
SRR33937740	SRP591378	new	PRJNA1274439	SAMN48984225	PFND092-v1-stool	PFND092-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND092-v1-stool_S82_L001_R1_001.fastq.gz	PFND092-v1-stool_S82_L001_R2_001.fastq.gz				
SRR33937739	SRP591378	new	PRJNA1274439	SAMN48984226	PFND097-v1-stool	PFND097-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND097-v1-stool_S89_L001_R1_001.fastq.gz	PFND097-v1-stool_S89_L001_R2_001.fastq.gz				
SRR33937737	SRP591378	new	PRJNA1274439	SAMN48984227	PFND098-v1-stool	PFND098-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND098-v1-stool_S87_L001_R1_001.fastq.gz	PFND098-v1-stool_S87_L001_R2_001.fastq.gz				
SRR33937736	SRP591378	new	PRJNA1274439	SAMN48984228	PFND100-v1-stool	PFND100-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND100-v1-stool_S128_L001_R1_001.fastq.gz	PFND100-v1-stool_S128_L001_R2_001.fastq.gz				
SRR33937735	SRP591378	new	PRJNA1274439	SAMN48984229	PFND102-v1-stool	PFND102-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND102-v1-stool_S107_L001_R1_001.fastq.gz	PFND102-v1-stool_S107_L001_R2_001.fastq.gz				
SRR33937734	SRP591378	new	PRJNA1274439	SAMN48984230	PFND104-v1-stool	PFND104-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND104-v1-stool_S148_L001_R1_001.fastq.gz	PFND104-v1-stool_S148_L001_R2_001.fastq.gz				
SRR33937733	SRP591378	new	PRJNA1274439	SAMN48984231	PFND105-v1-stool	PFND105-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND105-v1-stool_S31_L001_R1_001.fastq.gz	PFND105-v1-stool_S31_L001_R2_001.fastq.gz				
SRR33937732	SRP591378	new	PRJNA1274439	SAMN48984232	PFND106-v1-stool	PFND106-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND106-v1-stool_S84_L001_R1_001.fastq.gz	PFND106-v1-stool_S84_L001_R2_001.fastq.gz				
SRR33937731	SRP591378	new	PRJNA1274439	SAMN48984233	PFND108-v1-stool	PFND108-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND108-v1-stool_S145_L001_R1_001.fastq.gz	PFND108-v1-stool_S145_L001_R2_001.fastq.gz				
SRR33937730	SRP591378	new	PRJNA1274439	SAMN48984234	PFND109-v1-stool	PFND109-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND109-v1-stool_S89_L001_R1_001.fastq.gz	PFND109-v1-stool_S89_L001_R2_001.fastq.gz				
SRR33937729	SRP591378	new	PRJNA1274439	SAMN48984235	PFND110-v1-stool	PFND110-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND110-v1-stool_S167_L001_R1_001.fastq.gz	PFND110-v1-stool_S167_L001_R2_001.fastq.gz				
SRR33937728	SRP591378	new	PRJNA1274439	SAMN48984236	PFND111-v1-stool	PFND111-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND111-v1-stool_S137_L001_R1_001.fastq.gz	PFND111-v1-stool_S137_L001_R2_001.fastq.gz				
SRR33937977	SRP591378	new	PRJNA1274439	SAMN48984237	PFND112-v1-stool	PFND112-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND112-v1-stool_S22_L001_R1_001.fastq.gz	PFND112-v1-stool_S22_L001_R2_001.fastq.gz				
SRR33937976	SRP591378	new	PRJNA1274439	SAMN48984238	PFND113-v1-stool	PFND113-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND113-v1-stool_S29_L001_R1_001.fastq.gz	PFND113-v1-stool_S29_L001_R2_001.fastq.gz				
SRR33937975	SRP591378	new	PRJNA1274439	SAMN48984239	PFND115-v1-stool	PFND115-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND115-v1-stool_S51_L001_R1_001.fastq.gz	PFND115-v1-stool_S51_L001_R2_001.fastq.gz				
