accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR33937890	SRP591378	new	PRJNA1274439	SAMN48984266	PFND162-v1-stool	PFND162-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND162-v1-stool_S105_L001_R1_001.fastq.gz	PFND162-v1-stool_S105_L001_R2_001.fastq.gz				
SRR33937888	SRP591378	new	PRJNA1274439	SAMN48984267	PFND164-v1-stool	PFND164-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND164-v1-stool_S72_L001_R1_001.fastq.gz	PFND164-v1-stool_S72_L001_R2_001.fastq.gz				
SRR33937887	SRP591378	new	PRJNA1274439	SAMN48984268	PFND165-v1-stool	PFND165-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND165-v1-stool_S77_L001_R1_001.fastq.gz	PFND165-v1-stool_S77_L001_R2_001.fastq.gz				
SRR33937886	SRP591378	new	PRJNA1274439	SAMN48984269	PFND169-v1-stool	PFND169-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND169-v1-stool_S166_L001_R1_001.fastq.gz	PFND169-v1-stool_S166_L001_R2_001.fastq.gz				
SRR33937885	SRP591378	new	PRJNA1274439	SAMN48984270	PFND171-v1-stool	PFND171-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND171-v1-stool_S72_L001_R1_001.fastq.gz	PFND171-v1-stool_S72_L001_R2_001.fastq.gz				
SRR33937884	SRP591378	new	PRJNA1274439	SAMN48984271	PFND174-v1-stool	PFND174-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND174-v1-stool_S164_L001_R1_001.fastq.gz	PFND174-v1-stool_S164_L001_R2_001.fastq.gz				
SRR33937883	SRP591378	new	PRJNA1274439	SAMN48984272	PFND175-v1-stool	PFND175-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND175-v1-stool_S130_L001_R1_001.fastq.gz	PFND175-v1-stool_S130_L001_R2_001.fastq.gz				
SRR33937882	SRP591378	new	PRJNA1274439	SAMN48984273	PFND176-v1-stool	PFND176-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND176-v1-stool_S128_L001_R1_001.fastq.gz	PFND176-v1-stool_S128_L001_R2_001.fastq.gz				
SRR33937881	SRP591378	new	PRJNA1274439	SAMN48984274	PFND177-v1-stool	PFND177-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND177-v1-stool_S179_L001_R1_001.fastq.gz	PFND177-v1-stool_S179_L001_R2_001.fastq.gz				
SRR33937880	SRP591378	new	PRJNA1274439	SAMN48984275	PFND178-v1-stool	PFND178-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND178-v1-stool_S32_L001_R1_001.fastq.gz	PFND178-v1-stool_S32_L001_R2_001.fastq.gz				
SRR33937879	SRP591378	new	PRJNA1274439	SAMN48984276	PFND179-v1-stool	PFND179-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND179-v1-stool_S115_L001_R1_001.fastq.gz	PFND179-v1-stool_S115_L001_R2_001.fastq.gz				
SRR33937877	SRP591378	new	PRJNA1274439	SAMN48984277	PFND183-v1-stool	PFND183-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND183-v1-stool_S117_L001_R1_001.fastq.gz	PFND183-v1-stool_S117_L001_R2_001.fastq.gz				
SRR33937876	SRP591378	new	PRJNA1274439	SAMN48984278	PFND184-v1-stool	PFND184-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND184-v1-stool_S34_L001_R1_001.fastq.gz	PFND184-v1-stool_S34_L001_R2_001.fastq.gz				
SRR33937875	SRP591378	new	PRJNA1274439	SAMN48984279	PFND185-v1-stool	PFND185-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND185-v1-stool_S173_L001_R1_001.fastq.gz	PFND185-v1-stool_S173_L001_R2_001.fastq.gz				
SRR33937874	SRP591378	new	PRJNA1274439	SAMN48984280	PFND186-v1-stool	PFND186-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND186-v1-stool_S71_L001_R1_001.fastq.gz	PFND186-v1-stool_S71_L001_R2_001.fastq.gz				
SRR33937873	SRP591378	new	PRJNA1274439	SAMN48984281	PFND187-v1-stool	PFND187-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND187-v1-stool_S150_L001_R1_001.fastq.gz	PFND187-v1-stool_S150_L001_R2_001.fastq.gz				
SRR33937872	SRP591378	new	PRJNA1274439	SAMN48984282	PFND188-v1-stool	PFND188-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND188-v1-stool_S105_L001_R1_001.fastq.gz	PFND188-v1-stool_S105_L001_R2_001.fastq.gz				
SRR33937871	SRP591378	new	PRJNA1274439	SAMN48984283	PFND189-v1-stool	PFND189-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND189-v1-stool_S159_L001_R1_001.fastq.gz	PFND189-v1-stool_S159_L001_R2_001.fastq.gz				
SRR33937870	SRP591378	new	PRJNA1274439	SAMN48984284	PFND190-v1-stool	PFND190-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND190-v1-stool_S12_L001_R1_001.fastq.gz	PFND190-v1-stool_S12_L001_R2_001.fastq.gz				
SRR33937869	SRP591378	new	PRJNA1274439	SAMN48984285	PFND191-v1-stool	PFND191-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND191-v1-stool_S50_L001_R1_001.fastq.gz	PFND191-v1-stool_S50_L001_R2_001.fastq.gz				
SRR33937868	SRP591378	new	PRJNA1274439	SAMN48984286	PFND192-v1-stool	PFND192-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND192-v1-stool_S112_L001_R1_001.fastq.gz	PFND192-v1-stool_S112_L001_R2_001.fastq.gz				
SRR33937810	SRP591378	new	PRJNA1274439	SAMN48984287	PFND194-v1-stool	PFND194-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND194-v1-stool_S26_L001_R1_001.fastq.gz	PFND194-v1-stool_S26_L001_R2_001.fastq.gz				
SRR33937809	SRP591378	new	PRJNA1274439	SAMN48984288	PFND195-v1-stool	PFND195-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND195-v1-stool_S97_L001_R1_001.fastq.gz	PFND195-v1-stool_S97_L001_R2_001.fastq.gz				
SRR33937808	SRP591378	new	PRJNA1274439	SAMN48984289	PFND196-v1-stool	PFND196-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND196-v1-stool_S35_L001_R1_001.fastq.gz	PFND196-v1-stool_S35_L001_R2_001.fastq.gz				
SRR33937807	SRP591378	new	PRJNA1274439	SAMN48984290	PFND197-v1-stool	PFND197-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND197-v1-stool_S54_L001_R1_001.fastq.gz	PFND197-v1-stool_S54_L001_R2_001.fastq.gz				
SRR33937806	SRP591378	new	PRJNA1274439	SAMN48984291	PFND199-v1-stool	PFND199-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND199-v1-stool_S132_L001_R1_001.fastq.gz	PFND199-v1-stool_S132_L001_R2_001.fastq.gz				
SRR33937805	SRP591378	new	PRJNA1274439	SAMN48984292	PFND200-v1-stool	PFND200-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND200-v1-stool_S169_L001_R1_001.fastq.gz	PFND200-v1-stool_S169_L001_R2_001.fastq.gz				
SRR33937804	SRP591378	new	PRJNA1274439	SAMN48984293	PFND202-v1-stool	PFND202-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND202-v1-stool_S189_L001_R1_001.fastq.gz	PFND202-v1-stool_S189_L001_R2_001.fastq.gz				
SRR33937803	SRP591378	new	PRJNA1274439	SAMN48984294	PFND204-v1-stool	PFND204-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND204-v1-stool_S131_L001_R1_001.fastq.gz	PFND204-v1-stool_S131_L001_R2_001.fastq.gz				
SRR33937802	SRP591378	new	PRJNA1274439	SAMN48984295	PFND206-v1-stool	PFND206-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND206-v1-stool_S132_L001_R1_001.fastq.gz	PFND206-v1-stool_S132_L001_R2_001.fastq.gz				
SRR33937801	SRP591378	new	PRJNA1274439	SAMN48984296	PFND207-v1-stool	PFND207-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND207-v1-stool_S100_L001_R1_001.fastq.gz	PFND207-v1-stool_S100_L001_R2_001.fastq.gz				
SRR33937799	SRP591378	new	PRJNA1274439	SAMN48984297	PFND208-v1-stool	PFND208-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND208-v1-stool_S37_L001_R1_001.fastq.gz	PFND208-v1-stool_S37_L001_R2_001.fastq.gz				
SRR33937798	SRP591378	new	PRJNA1274439	SAMN48984298	PFND211-v1-stool	PFND211-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND211-v1-stool_S77_L001_R1_001.fastq.gz	PFND211-v1-stool_S77_L001_R2_001.fastq.gz				
SRR33937797	SRP591378	new	PRJNA1274439	SAMN48984299	PFND216-v1-stool	PFND216-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND216-v1-stool_S10_L001_R1_001.fastq.gz	PFND216-v1-stool_S10_L001_R2_001.fastq.gz				
SRR33937796	SRP591378	new	PRJNA1274439	SAMN48984300	PFND217-v1-stool	PFND217-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND217-v1-stool_S1_L001_R1_001.fastq.gz	PFND217-v1-stool_S1_L001_R2_001.fastq.gz				
SRR33937795	SRP591378	new	PRJNA1274439	SAMN48984301	PFND218-v1-stool	PFND218-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND218-v1-stool_S84_L001_R1_001.fastq.gz	PFND218-v1-stool_S84_L001_R2_001.fastq.gz				
SRR33937794	SRP591378	new	PRJNA1274439	SAMN48984302	PFND221-v1-stool	PFND221-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND221-v1-stool_S70_L001_R1_001.fastq.gz	PFND221-v1-stool_S70_L001_R2_001.fastq.gz				
SRR33937793	SRP591378	new	PRJNA1274439	SAMN48984303	PFND222-v1-stool	PFND222-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND222-v1-stool_S53_L001_R1_001.fastq.gz	PFND222-v1-stool_S53_L001_R2_001.fastq.gz				
SRR33937792	SRP591378	new	PRJNA1274439	SAMN48984304	PFND223-v1-stool	PFND223-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND223-v1-stool_S27_L001_R1_001.fastq.gz	PFND223-v1-stool_S27_L001_R2_001.fastq.gz				
SRR33937791	SRP591378	new	PRJNA1274439	SAMN48984305	PFND224-v1-stool	PFND224-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND224-v1-stool_S104_L001_R1_001.fastq.gz	PFND224-v1-stool_S104_L001_R2_001.fastq.gz				
SRR33937790	SRP591378	new	PRJNA1274439	SAMN48984306	PFND226-v1-stool	PFND226-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND226-v1-stool_S70_L001_R1_001.fastq.gz	PFND226-v1-stool_S70_L001_R2_001.fastq.gz				
SRR33937788	SRP591378	new	PRJNA1274439	SAMN48984307	PFND227-v1-stool	PFND227-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND227-v1-stool_S78_L001_R1_001.fastq.gz	PFND227-v1-stool_S78_L001_R2_001.fastq.gz				
SRR33937787	SRP591378	new	PRJNA1274439	SAMN48984308	PFND229-v1-stool	PFND229-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND229-v1-stool_S53_L001_R1_001.fastq.gz	PFND229-v1-stool_S53_L001_R2_001.fastq.gz				
SRR33937786	SRP591378	new	PRJNA1274439	SAMN48984309	PFND230-v1-stool	PFND230-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND230-v1-stool_S44_L001_R1_001.fastq.gz	PFND230-v1-stool_S44_L001_R2_001.fastq.gz				
SRR33937785	SRP591378	new	PRJNA1274439	SAMN48984310	PFND232-v1-stool	PFND232-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND232-v1-stool_S165_L001_R1_001.fastq.gz	PFND232-v1-stool_S165_L001_R2_001.fastq.gz				
SRR33937784	SRP591378	new	PRJNA1274439	SAMN48984311	PFND233-v1-stool	PFND233-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND233-v1-stool_S45_L001_R1_001.fastq.gz	PFND233-v1-stool_S45_L001_R2_001.fastq.gz				
SRR33937727	SRP591378	new	PRJNA1274439	SAMN48984312	PFND234-v1-stool	PFND234-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND234-v1-stool_S87_L001_R1_001.fastq.gz	PFND234-v1-stool_S87_L001_R2_001.fastq.gz				
SRR33937726	SRP591378	new	PRJNA1274439	SAMN48984313	PFND235-v1-stool	PFND235-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND235-v1-stool_S20_L001_R1_001.fastq.gz	PFND235-v1-stool_S20_L001_R2_001.fastq.gz				
SRR33937725	SRP591378	new	PRJNA1274439	SAMN48984314	PFND236-v1-stool	PFND236-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND236-v1-stool_S43_L001_R1_001.fastq.gz	PFND236-v1-stool_S43_L001_R2_001.fastq.gz				
SRR33937724	SRP591378	new	PRJNA1274439	SAMN48984315	PFND237-v1-stool	PFND237-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND237-v1-stool_S143_L001_R1_001.fastq.gz	PFND237-v1-stool_S143_L001_R2_001.fastq.gz				
SRR33937723	SRP591378	new	PRJNA1274439	SAMN48984316	PFND238-v1-stool	PFND238-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND238-v1-stool_S116_L001_R1_001.fastq.gz	PFND238-v1-stool_S116_L001_R2_001.fastq.gz				
SRR33937721	SRP591378	new	PRJNA1274439	SAMN48984317	PFND239-v1-stool	PFND239-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND239-v1-stool_S148_L001_R1_001.fastq.gz	PFND239-v1-stool_S148_L001_R2_001.fastq.gz				
SRR33937720	SRP591378	new	PRJNA1274439	SAMN48984318	PFND240-v1-stool	PFND240-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND240-v1-stool_S168_L001_R1_001.fastq.gz	PFND240-v1-stool_S168_L001_R2_001.fastq.gz				
SRR33937719	SRP591378	new	PRJNA1274439	SAMN48984319	PFND241-v1-stool	PFND241-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND241-v1-stool_S64_L001_R1_001.fastq.gz	PFND241-v1-stool_S64_L001_R2_001.fastq.gz				
SRR33937718	SRP591378	new	PRJNA1274439	SAMN48984320	PFND245-v1-stool	PFND245-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND245-v1-stool_S61_L001_R1_001.fastq.gz	PFND245-v1-stool_S61_L001_R2_001.fastq.gz				
SRR33937717	SRP591378	new	PRJNA1274439	SAMN48984321	PFND247-v1-stool	PFND247-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND247-v1-stool_S9_L001_R1_001.fastq.gz	PFND247-v1-stool_S9_L001_R2_001.fastq.gz				
SRR33937716	SRP591378	new	PRJNA1274439	SAMN48984322	PFND248-v1-stool	PFND248-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND248-v1-stool_S186_L001_R1_001.fastq.gz	PFND248-v1-stool_S186_L001_R2_001.fastq.gz				
SRR33937715	SRP591378	new	PRJNA1274439	SAMN48984323	PFND249-v1-stool	PFND249-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND249-v1-stool_S122_L001_R1_001.fastq.gz	PFND249-v1-stool_S122_L001_R2_001.fastq.gz				
SRR33937714	SRP591378	new	PRJNA1274439	SAMN48984324	PFND252-v1-stool	PFND252-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND252-v1-stool_S167_L001_R1_001.fastq.gz	PFND252-v1-stool_S167_L001_R2_001.fastq.gz				
SRR33937713	SRP591378	new	PRJNA1274439	SAMN48984325	PFND254-v1-stool	PFND254-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND254-v1-stool_S126_L001_R1_001.fastq.gz	PFND254-v1-stool_S126_L001_R2_001.fastq.gz				
SRR33937712	SRP591378	new	PRJNA1274439	SAMN48984326	PFND255-v1-stool	PFND255-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND255-v1-stool_S54_L001_R1_001.fastq.gz	PFND255-v1-stool_S54_L001_R2_001.fastq.gz				
SRR33937678	SRP591378	new	PRJNA1274439	SAMN48984327	PFND256-v1-stool	PFND256-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND256-v1-stool_S12_L001_R1_001.fastq.gz	PFND256-v1-stool_S12_L001_R2_001.fastq.gz				
SRR33937710	SRP591378	new	PRJNA1274439	SAMN48984328	PFND257-v1-stool	PFND257-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND257-v1-stool_S150_L001_R1_001.fastq.gz	PFND257-v1-stool_S150_L001_R2_001.fastq.gz				
SRR33937709	SRP591378	new	PRJNA1274439	SAMN48984329	PFND258-v1-stool	PFND258-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND258-v1-stool_S68_L001_R1_001.fastq.gz	PFND258-v1-stool_S68_L001_R2_001.fastq.gz				
SRR33937708	SRP591378	new	PRJNA1274439	SAMN48984330	PFND261-v1-stool	PFND261-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND261-v1-stool_S16_L001_R1_001.fastq.gz	PFND261-v1-stool_S16_L001_R2_001.fastq.gz				
SRR33937707	SRP591378	new	PRJNA1274439	SAMN48984331	PFND262-v1-stool	PFND262-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	PFND262-v1-stool_S48_L001_R1_001.fastq.gz	PFND262-v1-stool_S48_L001_R2_001.fastq.gz				
