accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR40001420	SRP591378	new	PRJNA1274439	SAMN62188276	MTN008	MTN008	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN008_nonhost.fastq.gz							
SRR40001419	SRP591378	new	PRJNA1274439	SAMN62188277	MTN038	MTN038	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN038_nonhost.fastq.gz							
SRR40001418	SRP591378	new	PRJNA1274439	SAMN62188278	MTN044	MTN044	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN044_nonhost.fastq.gz							
SRR40001417	SRP591378	new	PRJNA1274439	SAMN62188279	MTN049	MTN049	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN049_nonhost.fastq.gz							
SRR40001416	SRP591378	new	PRJNA1274439	SAMN62188280	MTN071	MTN071	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN071_nonhost.fastq.gz							
SRR40001415	SRP591378	new	PRJNA1274439	SAMN62188281	MTN076	MTN076	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN076_nonhost.fastq.gz							
SRR40001414	SRP591378	new	PRJNA1274439	SAMN62188282	MTN099	MTN099	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN099_nonhost.fastq.gz							
SRR40001413	SRP591378	new	PRJNA1274439	SAMN62188283	MTN142	MTN142	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN142_nonhost.fastq.gz							
SRR40001412	SRP591378	new	PRJNA1274439	SAMN62188284	MTN167	MTN167	human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN167_nonhost.fastq.gz							
